              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:   
Subject No:   
Date of Birth:   
Subject Address:   
Operator:    
Date: 10:46:00 (7/5/2026)  
DRT4 Serial Number: #3173  
Comment:   
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:  10/sec 
Time Constant: off 
Time Offset: 0.05 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0.0	 78.2 
2	0	0	0.1	 70.3 
272	0	0	27.1	117.0 
273	0	0	27.2	156.9 
274	0	0	27.3	152.4 
275	0	0	27.4	138.9 
276	0	0	27.5	131.3 
277	0	0	27.6	103.6 
278	0	0	27.7	 90.8 
279	0	0	27.8	 92.0 
280	0	0	27.9	124.2 
281	0	0	28.0	167.1 
282	0	0	28.1	136.6 
283	0	0	28.2	133.2 
284	0	0	28.3	121.9 
285	0	0	28.4	115.2 
286	0	0	28.5	116.4 
287	0	0	28.6	108.1 
288	0	0	28.7	130.7 
289	0	0	28.8	136.6 
290	0	0	28.9	133.8 
291	0	0	29.0	138.9 
292	0	0	29.1	133.1 
293	0	0	29.2	121.3 
294	0	0	29.3	137.1 
295	0	0	29.4	144.0 
296	0	0	29.5	147.5 
297	0	0	29.6	150.0 
298	0	0	29.7	145.3 
299	0	0	29.8	141.1 
300	0	0	29.9	126.7 
301	0	0	30.0	120.4 
302	0	0	30.1	111.2 
303	0	0	30.2	132.8 
304	0	0	30.3	150.4 
305	0	0	30.4	134.7 
306	0	0	30.5	139.3 
307	0	0	30.6	144.9 
308	0	0	30.7	145.3 
309	0	0	30.8	131.1 
310	0	0	30.9	123.7 
311	0	0	31.0	154.7 
312	0	0	31.1	170.2 
313	0	0	31.2	151.7 
314	0	0	31.3	160.8 
315	0	0	31.4	151.2 
316	0	0	31.5	129.5 
317	0	0	31.6	128.4 
318	0	0	31.7	138.7 
319	0	0	31.8	168.4 
320	0	0	31.9	159.6 
321	0	0	32.0	147.5 
322	0	0	32.1	154.9 
323	0	0	32.2	140.6 
324	0	0	32.3	127.5 
325	0	0	32.4	128.3 
326	0	0	32.5	162.9 
327	0	0	32.6	149.6 
328	0	0	32.7	147.8 
329	0	0	32.8	147.7 
330	0	0	32.9	147.6 
331	0	0	33.0	136.5 
332	0	0	33.1	138.0 
333	0	0	33.2	170.7 
334	0	0	33.3	186.5 
335	0	0	33.4	173.2 
336	0	0	33.5	170.4 
337	0	0	33.6	158.3 
338	0	0	33.7	163.6 
339	0	0	33.8	140.1 
340	0	0	33.9	162.1 
341	0	0	34.0	171.3 
342	0	0	34.1	164.3 
343	0	0	34.2	141.5 
344	0	0	34.3	123.1 
345	0	0	34.4	142.6 
346	0	0	34.5	135.2 
347	0	0	34.6	135.7 
348	0	0	34.7	153.4 
349	0	0	34.8	144.4 
350	0	0	34.9	134.1 
351	0	0	35.0	143.7 
352	0	0	35.1	135.1 
353	0	0	35.2	125.7 
354	0	0	35.3	108.6 
355	0	0	35.4	109.9 
356	0	0	35.5	161.8 
357	0	0	35.6	169.6 
358	0	0	35.7	148.7 
359	0	0	35.8	161.5 
360	0	0	35.9	157.3 
361	0	0	36.0	139.6 
362	0	0	36.1	131.5 
363	0	0	36.2	130.6 
364	0	0	36.3	160.8 
365	0	0	36.4	150.4 
366	0	0	36.5	149.5 
367	0	0	36.6	131.1 
368	0	0	36.7	121.0 
369	0	0	36.8	112.4 
370	0	0	36.9	 99.6 
371	0	0	37.0	124.1 
372	0	0	37.1	161.8 
373	0	0	37.2	143.1 
374	0	0	37.3	154.8 
375	0	0	37.4	138.4 
376	0	0	37.5	130.0 
377	0	0	37.6	115.3 
378	0	0	37.7	120.7 
379	0	0	37.8	157.5 
380	0	0	37.9	161.5 
381	0	0	38.0	157.6 
382	0	0	38.1	148.7 
383	0	0	38.2	132.5 
384	0	0	38.3	 98.1 
385	0	0	38.4	 95.5 
386	0	0	38.5	126.7 
387	0	0	38.6	149.9 
388	0	0	38.7	152.6 
389	0	0	38.8	165.2 
390	0	0	38.9	143.8 
391	0	0	39.0	114.5 
392	0	0	39.1	108.5 
393	0	0	39.2	107.8 
394	0	0	39.3	153.7 
395	0	0	39.4	149.5 
396	0	0	39.5	133.6 
397	0	0	39.6	128.3 
398	0	0	39.7	109.0 
399	0	0	39.8	101.4 
400	0	0	39.9	 97.8 
401	0	0	40.0	111.2 
402	0	0	40.1	149.7 
403	0	0	40.2	123.4 
404	0	0	40.3	126.1 
405	0	0	40.4	 98.1 
406	0	0	40.5	 98.0 
407	0	0	40.6	107.4 
408	0	0	40.7	121.3 
409	0	0	40.8	153.0 
410	0	0	40.9	151.9 
411	0	0	41.0	143.3 
412	0	0	41.1	141.5 
413	0	0	41.2	134.4 
414	0	0	41.3	109.4 
415	0	0	41.4	 95.7 
416	0	0	41.5	130.8 
417	0	0	41.6	146.0 
418	0	0	41.7	144.2 
419	0	0	41.8	145.0 
420	0	0	41.9	118.4 
421	0	0	42.0	111.3 
422	0	0	42.1	116.9 
423	0	0	42.2	 99.8 
424	0	0	42.3	154.4 
425	0	0	42.4	151.0 
426	0	0	42.5	135.6 
427	0	0	42.6	144.2 
428	0	0	42.7	126.3 
429	0	0	42.8	127.3 
430	0	0	42.9	131.8 
431	0	0	43.0	144.6 
432	0	0	43.1	148.6 
433	0	0	43.2	145.1 
434	0	0	43.3	156.1 
435	0	0	43.4	135.4 
436	0	0	43.5	122.3 
437	0	0	43.6	114.4 
438	0	0	43.7	130.2 
439	0	0	43.8	159.4 
440	0	0	43.9	138.6 
441	0	0	44.0	154.8 
442	0	0	44.1	150.7 
443	0	0	44.2	128.5 
444	0	0	44.3	102.6 
445	0	0	44.4	 97.8 
446	0	0	44.5	121.0 
447	0	0	44.6	141.6 
448	0	0	44.7	135.8 
449	0	0	44.8	132.5 
450	0	0	44.9	118.0 
451	0	0	45.0	 97.5 
452	0	0	45.1	 89.7 
453	0	0	45.2	115.3 
454	0	0	45.3	148.4 
455	0	0	45.4	147.0 
456	0	0	45.5	130.1 
457	0	0	45.6	119.2 
458	0	0	45.7	108.0 
459	0	0	45.8	113.7 
460	0	0	45.9	116.7 
461	0	0	46.0	140.8 
462	0	0	46.1	139.2 
463	0	0	46.2	135.2 
464	0	0	46.3	128.2 
465	0	0	46.4	121.0 
466	0	0	46.5	112.9 
467	0	0	46.6	116.0 
468	0	0	46.7	165.1 
469	0	0	46.8	166.3 
470	0	0	46.9	153.2 
471	0	0	47.0	145.8 
472	0	0	47.1	131.4 
473	0	0	47.2	118.0 
474	0	0	47.3	109.9 
475	0	0	47.4	147.0 
476	0	0	47.5	170.7 
477	0	0	47.6	143.7 
478	0	0	47.7	144.1 
479	0	0	47.8	128.1 
480	0	0	47.9	127.7 
481	0	0	48.0	111.1 
482	0	0	48.1	124.1 
483	0	0	48.2	157.7 
484	0	0	48.3	138.5 
485	0	0	48.4	127.2 
486	0	0	48.5	120.5 
487	0	0	48.6	111.0 
488	0	0	48.7	101.3 
489	0	0	48.8	105.8 
490	0	0	48.9	142.5 
491	0	0	49.0	129.4 
492	0	0	49.1	109.8 
493	0	0	49.2	113.9 
494	0	0	49.3	 97.8 
495	0	0	49.4	 77.1 
496	0	0	49.5	 74.7 
497	0	0	49.6	115.2 
498	0	0	49.7	118.2 
499	0	0	49.8	104.1 
500	0	0	49.9	 92.0 
501	0	0	50.0	 75.1 
502	0	0	50.1	 64.9 
503	0	0	50.2	 59.8 
504	0	0	50.3	 57.1 
505	0	0	50.4	 83.8 
506	0	0	50.5	 80.8 
507	0	0	50.6	 86.5 
508	0	0	50.7	 87.3 
509	0	0	50.8	 79.9 
510	0	0	50.9	 76.9 
511	0	0	51.0	 67.8 
512	0	0	51.1	 99.5 
513	0	0	51.2	 94.5 
514	0	0	51.3	 94.5 
515	0	0	51.4	 86.8 
516	0	0	51.5	 73.7 
517	0	0	51.6	 71.2 
518	0	0	51.7	 53.6 
519	0	0	51.8	 79.1 
520	0	0	51.9	 95.6 
521	0	0	52.0	 75.0 
522	0	0	52.1	 96.0 
523	0	0	52.2	 83.0 
524	0	0	52.3	 71.1 
525	0	0	52.4	 84.3 
526	0	0	52.5	 82.5 
527	0	0	52.6	 91.1 
528	0	0	52.7	 82.5 
529	0	0	52.8	 80.0 
530	0	0	52.9	 87.9 
531	0	0	53.0	 78.5 
532	0	0	53.1	 73.5 
533	0	0	53.2	 77.4 
534	0	0	53.3	132.4 
535	0	0	53.4	129.6 
536	0	0	53.5	128.4 
537	0	0	53.6	133.0 
538	0	0	53.7	100.9 
539	0	0	53.8	 92.6 
540	0	0	53.9	 90.7 
541	0	0	54.0	118.1 
542	0	0	54.1	116.5 
543	0	0	54.2	117.3 
544	0	0	54.3	116.9 
545	0	0	54.4	102.2 
546	0	0	54.5	 95.8 
547	0	0	54.6	 96.1 
548	0	0	54.7	117.6 
549	0	0	54.8	135.9 
550	0	0	54.9	114.8 
551	0	0	55.0	115.5 
552	0	0	55.1	 89.9 
553	0	0	55.2	 93.3 
554	0	0	55.3	 82.1 
555	0	0	55.4	104.2 
556	0	0	55.5	115.4 
557	0	0	55.6	102.3 
558	0	0	55.7	112.5 
559	0	0	55.8	 97.6 
560	0	0	55.9	 97.2 
561	0	0	56.0	 97.0 
562	0	0	56.1	113.8 
563	0	0	56.2	130.2 
564	0	0	56.3	117.0 
565	0	0	56.4	129.5 
566	0	0	56.5	100.0 
567	0	0	56.6	100.0 
568	0	0	56.7	 81.7 
569	0	0	56.8	101.2 
570	0	0	56.9	150.4 
571	0	0	57.0	136.2 
572	0	0	57.1	114.0 
573	0	0	57.2	112.4 
574	0	0	57.3	 95.1 
575	0	0	57.4	103.8 
576	0	0	57.5	103.8 
577	0	0	57.6	137.1 
578	0	0	57.7	144.7 
579	0	0	57.8	122.9 
580	0	0	57.9	127.0 
581	0	0	58.0	119.3 
582	0	0	58.1	105.9 
583	0	0	58.2	101.0 
584	0	0	58.3	111.5 
585	0	0	58.4	130.9 
586	0	0	58.5	122.6 
587	0	0	58.6	111.5 
588	0	0	58.7	 96.1 
589	0	0	58.8	 79.1 
590	0	0	58.9	 84.0 
591	0	0	59.0	 84.4 
592	0	0	59.1	128.2 
593	0	0	59.2	114.7 
594	0	0	59.3	102.2 
595	0	0	59.4	120.2 
596	0	0	59.5	102.8 
597	0	0	59.6	104.0 
598	0	0	59.7	 60.8 
599	0	0	59.8	 18.5 
600	0	0	59.9	 25.4 
601	0	1	0.0	 29.9 
602	0	1	0.1	 32.0 
603	0	1	0.2	 47.9 
604	0	1	0.3	 30.0 
605	0	1	0.4	 29.2 
606	0	1	0.5	 17.9 
607	0	1	0.6	 36.4 
608	0	1	0.7	 29.1 
609	0	1	0.8	 22.9 
610	0	1	0.9	 22.8 
611	0	1	1.0	 20.9 
612	0	1	1.1	 35.5 
613	0	1	1.2	 27.5 
614	0	1	1.3	 14.5 
615	0	1	1.4	 27.7 
616	0	1	1.5	 45.0 
617	0	1	1.6	 46.8 
618	0	1	1.7	 48.5 
619	0	1	1.8	 55.8 
620	0	1	1.9	 51.6 
621	0	1	2.0	 57.3 
622	0	1	2.1	 73.5 
623	0	1	2.2	 76.9 
624	0	1	2.3	 75.7 
625	0	1	2.4	 70.7 
626	0	1	2.5	 75.4 
627	0	1	2.6	 89.5 
628	0	1	2.7	 90.4 
629	0	1	2.8	 92.3 
630	0	1	2.9	 92.0 
631	0	1	3.0	 98.6 
632	0	1	3.1	115.7 
633	0	1	3.2	136.6 
634	0	1	3.3	134.6 
635	0	1	3.4	124.1 
636	0	1	3.5	123.7 
637	0	1	3.6	117.4 
638	0	1	3.7	103.4 
639	0	1	3.8	104.4 
640	0	1	3.9	101.0 
641	0	1	4.0	 99.0 
642	0	1	4.1	118.3 
643	0	1	4.2	 91.3 
644	0	1	4.3	 70.6 
645	0	1	4.4	 65.1 
646	0	1	4.5	 67.2 
647	0	1	4.6	 72.1 
648	0	1	4.7	 84.5 
649	0	1	4.8	103.7 
650	0	1	4.9	104.8 
651	0	1	5.0	 75.1 
652	0	1	5.1	 79.3 
653	0	1	5.2	 87.3 
654	0	1	5.3	108.3 
655	0	1	5.4	103.5 
656	0	1	5.5	112.1 
657	0	1	5.6	 99.8 
658	0	1	5.7	104.0 
659	0	1	5.8	119.2 
660	0	1	5.9	122.3 
661	0	1	6.0	110.0 
662	0	1	6.1	 95.9 
663	0	1	6.2	 98.2 
664	0	1	6.3	 82.9 
665	0	1	6.4	 86.9 
666	0	1	6.5	115.4 
667	0	1	6.6	154.7 
668	0	1	6.7	164.7 
669	0	1	6.8	119.3 
670	0	1	6.9	118.4 
671	0	1	7.0	126.5 
672	0	1	7.1	103.9 
673	0	1	7.2	 99.8 
674	0	1	7.3	 71.3 
675	0	1	7.4	 59.8 
676	0	1	7.5	 64.1 
677	0	1	7.6	 70.3 
678	0	1	7.7	 73.5 
679	0	1	7.8	 74.4 
680	0	1	7.9	103.9 
681	0	1	8.0	 96.3 
682	0	1	8.1	 67.6 
683	0	1	8.2	 65.4 
684	0	1	8.3	 45.3 
685	0	1	8.4	 50.3 
686	0	1	8.5	 51.4 
687	0	1	8.6	 44.0 
688	0	1	8.7	 38.6 
689	0	1	8.8	 25.3 
690	0	1	8.9	 34.7 
691	0	1	9.0	 56.4 
692	0	1	9.1	 46.2 
693	0	1	9.2	 32.9 
694	0	1	9.3	 26.2 
695	0	1	9.4	 24.0 
696	0	1	9.5	 22.1 
697	0	1	9.6	 22.8 
698	0	1	9.7	 41.4 
699	0	1	9.8	 51.2 
700	0	1	9.9	 43.5 
701	0	1	10.0	 41.7 
702	0	1	10.1	 42.2 
703	0	1	10.2	 28.9 
704	0	1	10.3	 21.5 
705	0	1	10.4	 25.3 
706	0	1	10.5	 28.8 
707	0	1	10.6	 32.5 
708	0	1	10.7	 30.7 
709	0	1	10.8	 27.5 
710	0	1	10.9	 23.9 
711	0	1	11.0	 27.5 
712	0	1	11.1	 36.3 
713	0	1	11.2	 39.1 
714	0	1	11.3	 34.2 
715	0	1	11.4	 41.8 
716	0	1	11.5	 39.8 
717	0	1	11.6	 24.4 
718	0	1	11.7	 22.9 
719	0	1	11.8	 34.9 
720	0	1	11.9	 27.6 
721	0	1	12.0	 20.7 
722	0	1	12.1	 52.4 
723	0	1	12.2	 61.9 
724	0	1	12.3	 59.6 
725	0	1	12.4	 52.0 
726	0	1	12.5	 39.7 
727	0	1	12.6	 46.3 
728	0	1	12.7	 29.1 
729	0	1	12.8	 12.8 
730	0	1	12.9	  8.9 
731	0	1	13.0	 31.7 
732	0	1	13.1	 41.5 
733	0	1	13.2	 31.9 
734	0	1	13.3	 25.9 
735	0	1	13.4	 24.2 
736	0	1	13.5	 24.8 
737	0	1	13.6	 21.4 
738	0	1	13.7	 28.3 
739	0	1	13.8	 39.7 
740	0	1	13.9	 49.1 
741	0	1	14.0	 36.1 
742	0	1	14.1	 37.5 
743	0	1	14.2	 35.1 
744	0	1	14.3	 23.3 
745	0	1	14.4	 39.6 
746	0	1	14.5	 25.5 
747	0	1	14.6	 35.2 
748	0	1	14.7	 58.9 
749	0	1	14.8	 52.3 
750	0	1	14.9	 45.4 
751	0	1	15.0	 37.4 
752	0	1	15.1	 27.2 
753	0	1	15.2	 24.8 
754	0	1	15.3	 28.2 
755	0	1	15.4	 27.4 
756	0	1	15.5	 53.9 
757	0	1	15.6	 60.8 
758	0	1	15.7	 47.8 
759	0	1	15.8	 56.8 
760	0	1	15.9	 53.9 
761	0	1	16.0	 42.5 
762	0	1	16.1	 34.4 
763	0	1	16.2	 30.4 
764	0	1	16.3	 90.2 
765	0	1	16.4	101.2 
766	0	1	16.5	 91.8 
767	0	1	16.6	 83.0 
768	0	1	16.7	 81.6 
769	0	1	16.8	 58.4 
770	0	1	16.9	 51.1 
771	0	1	17.0	 60.0 
772	0	1	17.1	120.0 
773	0	1	17.2	140.3 
774	0	1	17.3	137.9 
775	0	1	17.4	151.9 
776	0	1	17.5	140.9 
777	0	1	17.6	142.5 
778	0	1	17.7	156.7 
779	0	1	17.8	192.5 
780	0	1	17.9	199.8 
781	0	1	18.0	204.2 
782	0	1	18.1	209.6 
783	0	1	18.2	206.5 
784	0	1	18.3	191.9 
785	0	1	18.4	217.4 
786	0	1	18.5	260.0 
787	0	1	18.6	265.5 
788	0	1	18.7	258.1 
789	0	1	18.8	272.8 
790	0	1	18.9	257.2 
791	0	1	19.0	275.2 
792	0	1	19.1	309.3 
793	0	1	19.2	300.5 
794	0	1	19.3	278.9 
795	0	1	19.4	295.5 
796	0	1	19.5	275.9 
797	0	1	19.6	278.5 
798	0	1	19.7	316.9 
799	0	1	19.8	326.2 
800	0	1	19.9	312.5 
801	0	1	20.0	316.5 
802	0	1	20.1	319.6 
803	0	1	20.2	289.2 
804	0	1	20.3	283.3 
805	0	1	20.4	293.6 
806	0	1	20.5	309.2 
807	0	1	20.6	284.6 
808	0	1	20.7	273.2 
809	0	1	20.8	260.8 
810	0	1	20.9	232.0 
811	0	1	21.0	259.1 
812	0	1	21.1	304.5 
813	0	1	21.2	305.3 
814	0	1	21.3	292.8 
815	0	1	21.4	266.4 
816	0	1	21.5	245.6 
817	0	1	21.6	273.7 
818	0	1	21.7	299.1 
819	0	1	21.8	282.2 
820	0	1	21.9	277.2 
821	0	1	22.0	268.9 
822	0	1	22.1	265.4 
823	0	1	22.2	267.8 
824	0	1	22.3	296.0 
825	0	1	22.4	294.2 
826	0	1	22.5	282.9 
827	0	1	22.6	272.7 
828	0	1	22.7	269.5 
829	0	1	22.8	247.0 
830	0	1	22.9	271.2 
831	0	1	23.0	285.2 
832	0	1	23.1	276.7 
833	0	1	23.2	265.3 
834	0	1	23.3	262.5 
835	0	1	23.4	260.0 
836	0	1	23.5	249.7 
837	0	1	23.6	273.6 
838	0	1	23.7	276.2 
839	0	1	23.8	281.7 
840	0	1	23.9	255.5 
841	0	1	24.0	249.4 
842	0	1	24.1	210.3 
843	0	1	24.2	210.9 
844	0	1	24.3	212.7 
845	0	1	24.4	204.7 
846	0	1	24.5	203.5 
847	0	1	24.6	194.1 
848	0	1	24.7	188.5 
849	0	1	24.8	189.8 
850	0	1	24.9	214.4 
851	0	1	25.0	210.3 
852	0	1	25.1	215.2 
853	0	1	25.2	208.2 
854	0	1	25.3	191.6 
855	0	1	25.4	160.7 
856	0	1	25.5	183.3 
857	0	1	25.6	190.1 
858	0	1	25.7	176.4 
859	0	1	25.8	163.0 
860	0	1	25.9	152.0 
861	0	1	26.0	136.8 
862	0	1	26.1	122.6 
863	0	1	26.2	140.0 
864	0	1	26.3	148.9 
865	0	1	26.4	133.4 
866	0	1	26.5	138.3 
867	0	1	26.6	129.2 
868	0	1	26.7	108.2 
869	0	1	26.8	 93.1 
870	0	1	26.9	101.3 
871	0	1	27.0	115.4 
872	0	1	27.1	115.9 
873	0	1	27.2	 98.4 
874	0	1	27.3	 85.0 
875	0	1	27.4	 86.7 
876	0	1	27.5	 75.7 
877	0	1	27.6	 95.7 
878	0	1	27.7	 94.3 
879	0	1	27.8	 69.7 
880	0	1	27.9	 70.5 
881	0	1	28.0	 63.3 
882	0	1	28.1	 61.8 
883	0	1	28.2	 52.5 
884	0	1	28.3	 64.8 
885	0	1	28.4	 78.9 
886	0	1	28.5	 67.0 
887	0	1	28.6	 68.2 
888	0	1	28.7	 61.7 
